artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
LaLion,GO!,0.56,0.879,8,-5.488,0,0.0928,0.0646,0,0.591,0.536,177.97,audio_features,7gnZJP4kpR5IIzIhhDupum,spotify:track:7gnZJP4kpR5IIzIhhDupum,https://api.spotify.com/v1/tracks/7gnZJP4kpR5IIzIhhDupum,https://api.spotify.com/v1/audio-analysis/7gnZJP4kpR5IIzIhhDupum,143659,4
Bazanji,Fed Up,0.768,0.844,7,-6.044,0,0.209,0.28,0,0.117,0.37,142.011,audio_features,23SOLLrMMW31ebUFfuGNW6,spotify:track:23SOLLrMMW31ebUFfuGNW6,https://api.spotify.com/v1/tracks/23SOLLrMMW31ebUFfuGNW6,https://api.spotify.com/v1/audio-analysis/23SOLLrMMW31ebUFfuGNW6,160084,4
Lift The Curse,Closing The Wound,0.289,0.98,2,-4.219,1,0.529,0.000218,0,0.0674,0.0511,170.093,audio_features,1k1yhHj5QU8yIuuOjgfmNY,spotify:track:1k1yhHj5QU8yIuuOjgfmNY,https://api.spotify.com/v1/tracks/1k1yhHj5QU8yIuuOjgfmNY,https://api.spotify.com/v1/audio-analysis/1k1yhHj5QU8yIuuOjgfmNY,237176,4
Andy Mineo,You Can't Stop Me,0.77,0.826,3,-4.615,0,0.159,0.046,0,0.266,0.462,145.983,audio_features,0WwrwEmAXGy6keX7noxBYO,spotify:track:0WwrwEmAXGy6keX7noxBYO,https://api.spotify.com/v1/tracks/0WwrwEmAXGy6keX7noxBYO,https://api.spotify.com/v1/audio-analysis/0WwrwEmAXGy6keX7noxBYO,239962,4
The Game,Red Nation,0.405,0.889,2,-3.303,1,0.317,0.0922,0,0.446,0.338,82.918,audio_features,2sYUGgzQfHQ6lOWzbrny8Z,spotify:track:2sYUGgzQfHQ6lOWzbrny8Z,https://api.spotify.com/v1/tracks/2sYUGgzQfHQ6lOWzbrny8Z,https://api.spotify.com/v1/audio-analysis/2sYUGgzQfHQ6lOWzbrny8Z,229480,4
Hollywood Undead,Undead,0.512,0.943,2,-5.185,0,0.106,0.0138,0,0.261,0.485,163.128,audio_features,4U0p10TUdRyhQ06ZqGAtxx,spotify:track:4U0p10TUdRyhQ06ZqGAtxx,https://api.spotify.com/v1/tracks/4U0p10TUdRyhQ06ZqGAtxx,https://api.spotify.com/v1/audio-analysis/4U0p10TUdRyhQ06ZqGAtxx,265053,4
BLANK,I Go Fuckin' Psycho,0.637,0.737,11,-2.875,0,0.185,0.133,0,0.34,0.101,90.521,audio_features,4WVPpEGS7FX6TVkV0pHskN,spotify:track:4WVPpEGS7FX6TVkV0pHskN,https://api.spotify.com/v1/tracks/4WVPpEGS7FX6TVkV0pHskN,https://api.spotify.com/v1/audio-analysis/4WVPpEGS7FX6TVkV0pHskN,223190,4
LaLion,SEATTLE,0.73,0.89,0,-7.889,1,0.0654,0.0645,0,0.388,0.577,130.049,audio_features,3Kdd6d0wm0wsGeuacU3xxh,spotify:track:3Kdd6d0wm0wsGeuacU3xxh,https://api.spotify.com/v1/tracks/3Kdd6d0wm0wsGeuacU3xxh,https://api.spotify.com/v1/audio-analysis/3Kdd6d0wm0wsGeuacU3xxh,171928,4
Thousand Foot Krutch,War Of Change,0.531,0.887,5,-4.417,0,0.0323,0.00264,0.000502,0.0657,0.621,104.025,audio_features,67EfIBpKlV37lSIDOs77AN,spotify:track:67EfIBpKlV37lSIDOs77AN,https://api.spotify.com/v1/tracks/67EfIBpKlV37lSIDOs77AN,https://api.spotify.com/v1/audio-analysis/67EfIBpKlV37lSIDOs77AN,231665,4
Tundra,Pull Up,0.658,0.743,11,-6.083,1,0.0449,0.00955,5.43e-05,0.0852,0.813,159.988,audio_features,5ATxP74ChBhhQBUNzPByGv,spotify:track:5ATxP74ChBhhQBUNzPByGv,https://api.spotify.com/v1/tracks/5ATxP74ChBhhQBUNzPByGv,https://api.spotify.com/v1/audio-analysis/5ATxP74ChBhhQBUNzPByGv,122775,4
Dead Eyes,Break In The Current,0.608,0.916,9,-7.23,0,0.11,0.000135,1.75e-05,0.134,0.287,110.009,audio_features,5WfVUdiAHbJt8QJYhYRn44,spotify:track:5WfVUdiAHbJt8QJYhYRn44,https://api.spotify.com/v1/tracks/5WfVUdiAHbJt8QJYhYRn44,https://api.spotify.com/v1/audio-analysis/5WfVUdiAHbJt8QJYhYRn44,210860,4
Hollywood Undead,We Are,0.489,0.978,2,-2.123,1,0.0801,0.00189,1.36e-06,0.117,0.237,87.016,audio_features,5txqGXUFEWkbPHE1NznsWe,spotify:track:5txqGXUFEWkbPHE1NznsWe,https://api.spotify.com/v1/tracks/5txqGXUFEWkbPHE1NznsWe,https://api.spotify.com/v1/audio-analysis/5txqGXUFEWkbPHE1NznsWe,274387,4
JordanLivinGood,Step Out,0.777,0.65,11,-4.258,0,0.421,0.18,0,0.0691,0.476,162.105,audio_features,76qSm9GQJrMjAhFDvhSkTD,spotify:track:76qSm9GQJrMjAhFDvhSkTD,https://api.spotify.com/v1/tracks/76qSm9GQJrMjAhFDvhSkTD,https://api.spotify.com/v1/audio-analysis/76qSm9GQJrMjAhFDvhSkTD,179965,4
Snowgoons,The Hatred,0.473,0.966,1,-1.953,0,0.323,0.0562,0,0.765,0.512,94.131,audio_features,2iP3AaNoQLvwDZ3sxPfRVI,spotify:track:2iP3AaNoQLvwDZ3sxPfRVI,https://api.spotify.com/v1/tracks/2iP3AaNoQLvwDZ3sxPfRVI,https://api.spotify.com/v1/audio-analysis/2iP3AaNoQLvwDZ3sxPfRVI,232680,4
NEFFEX,Soldier,0.698,0.765,5,-4.562,1,0.291,0.169,0,0.39,0.589,84.94,audio_features,6xbZaeFj8BPE3HGXF7VVjX,spotify:track:6xbZaeFj8BPE3HGXF7VVjX,https://api.spotify.com/v1/tracks/6xbZaeFj8BPE3HGXF7VVjX,https://api.spotify.com/v1/audio-analysis/6xbZaeFj8BPE3HGXF7VVjX,216000,4
