artist,track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
FRUCCI,Dreamy drops,0.68,0.148,4,-18.176,1,0.0363,0.931,0.637,0.129,0.063,116.095,audio_features,3X4m1Abq6mgoDJMpt8T92j,spotify:track:3X4m1Abq6mgoDJMpt8T92j,https://api.spotify.com/v1/tracks/3X4m1Abq6mgoDJMpt8T92j,https://api.spotify.com/v1/audio-analysis/3X4m1Abq6mgoDJMpt8T92j,136975,4
prins,clouds,0.82,0.158,7,-14.559,1,0.0485,0.984,0.969,0.142,0.104,119.995,audio_features,2Gtzsh3mYz3TKczIQRwh8y,spotify:track:2Gtzsh3mYz3TKczIQRwh8y,https://api.spotify.com/v1/tracks/2Gtzsh3mYz3TKczIQRwh8y,https://api.spotify.com/v1/audio-analysis/2Gtzsh3mYz3TKczIQRwh8y,136000,4
Chillhop World,I had a dream,0.677,0.24,6,-16.195,0,0.0335,0.808,0.908,0.112,0.138,110.004,audio_features,1utikLNj4aFKbRoYsqKtOl,spotify:track:1utikLNj4aFKbRoYsqKtOl,https://api.spotify.com/v1/tracks/1utikLNj4aFKbRoYsqKtOl,https://api.spotify.com/v1/audio-analysis/1utikLNj4aFKbRoYsqKtOl,123276,4
lov lofi,Lentes,0.589,0.184,8,-22.198,1,0.0362,0.842,0.896,0.111,0.221,134.075,audio_features,4sVWrdtZwEAEhogbd3oSIM,spotify:track:4sVWrdtZwEAEhogbd3oSIM,https://api.spotify.com/v1/tracks/4sVWrdtZwEAEhogbd3oSIM,https://api.spotify.com/v1/audio-analysis/4sVWrdtZwEAEhogbd3oSIM,128955,4
prins,rainy morning,0.767,0.23,10,-16.601,0,0.0441,0.804,0.916,0.0863,0.0415,114.029,audio_features,5GJQBauZiFkWtZaoJ5BRnl,spotify:track:5GJQBauZiFkWtZaoJ5BRnl,https://api.spotify.com/v1/tracks/5GJQBauZiFkWtZaoJ5BRnl,https://api.spotify.com/v1/audio-analysis/5GJQBauZiFkWtZaoJ5BRnl,134737,4
Chillhop World,Clouds,0.775,0.414,2,-10.555,1,0.0456,0.441,0.92,0.113,0.22,119.991,audio_features,6RiaQZNY8lLphFP13n0fme,spotify:track:6RiaQZNY8lLphFP13n0fme,https://api.spotify.com/v1/tracks/6RiaQZNY8lLphFP13n0fme,https://api.spotify.com/v1/audio-analysis/6RiaQZNY8lLphFP13n0fme,128000,4
créature sonore,deepest desires,0.562,0.0193,3,-21.538,0,0.0377,0.956,0.943,0.107,0.0777,82.994,audio_features,5XYlbIAcPK4Dhzxdmqlo4v,spotify:track:5XYlbIAcPK4Dhzxdmqlo4v,https://api.spotify.com/v1/tracks/5XYlbIAcPK4Dhzxdmqlo4v,https://api.spotify.com/v1/audio-analysis/5XYlbIAcPK4Dhzxdmqlo4v,112000,3
Tosama Beats,Fuji,0.565,0.202,6,-12.883,1,0.0285,0.592,0.801,0.116,0.167,85.996,audio_features,275vscf9UDTeBu43Hz8bkC,spotify:track:275vscf9UDTeBu43Hz8bkC,https://api.spotify.com/v1/tracks/275vscf9UDTeBu43Hz8bkC,https://api.spotify.com/v1/audio-analysis/275vscf9UDTeBu43Hz8bkC,209302,4
créature sonore,nostalgic texture,0.62,0.169,1,-19.576,1,0.0318,0.955,0.91,0.0844,0.161,80.054,audio_features,18AVCvyadlYho76wxiBTd7,spotify:track:18AVCvyadlYho76wxiBTd7,https://api.spotify.com/v1/tracks/18AVCvyadlYho76wxiBTd7,https://api.spotify.com/v1/audio-analysis/18AVCvyadlYho76wxiBTd7,149258,4
Chillhop World,it's time to heal...,0.563,0.241,7,-14.127,1,0.0309,0.98,0.863,0.114,0.189,119.997,audio_features,2zrrvDm8oM2rzGEITtv6ny,spotify:track:2zrrvDm8oM2rzGEITtv6ny,https://api.spotify.com/v1/tracks/2zrrvDm8oM2rzGEITtv6ny,https://api.spotify.com/v1/audio-analysis/2zrrvDm8oM2rzGEITtv6ny,133004,4
mono._,Nighttime,0.477,0.0325,0,-27.999,1,0.037,0.972,0.883,0.0908,0.171,70.009,audio_features,2XzSBFXdO7F245MNcifxl3,spotify:track:2XzSBFXdO7F245MNcifxl3,https://api.spotify.com/v1/tracks/2XzSBFXdO7F245MNcifxl3,https://api.spotify.com/v1/audio-analysis/2XzSBFXdO7F245MNcifxl3,123429,4
créature sonore,jour froid,0.636,0.312,1,-17.083,0,0.0549,0.98,0.894,0.103,0.282,77.001,audio_features,4QTapjHjyXvAOKBFLO6nlU,spotify:track:4QTapjHjyXvAOKBFLO6nlU,https://api.spotify.com/v1/tracks/4QTapjHjyXvAOKBFLO6nlU,https://api.spotify.com/v1/audio-analysis/4QTapjHjyXvAOKBFLO6nlU,120000,4
prins,it was just another episode,0.424,0.195,0,-17.72,0,0.0631,0.944,0.833,0.123,0.162,98.023,audio_features,40vc95j5lYZzzAqPRpcyC9,spotify:track:40vc95j5lYZzzAqPRpcyC9,https://api.spotify.com/v1/tracks/40vc95j5lYZzzAqPRpcyC9,https://api.spotify.com/v1/audio-analysis/40vc95j5lYZzzAqPRpcyC9,141500,4
mono._,Starlight,0.395,0.0249,5,-28.954,1,0.0394,0.989,0.903,0.0543,0.0567,96.041,audio_features,138DnfldEsvAiWlx9ElW7Z,spotify:track:138DnfldEsvAiWlx9ElW7Z,https://api.spotify.com/v1/tracks/138DnfldEsvAiWlx9ElW7Z,https://api.spotify.com/v1/audio-analysis/138DnfldEsvAiWlx9ElW7Z,140000,4
créature sonore,merci pour la lumière,0.674,0.0417,1,-22.197,0,0.0349,0.926,0.945,0.0888,0.141,131.992,audio_features,7wlxEnvYxiyE7hnbZvFpyf,spotify:track:7wlxEnvYxiyE7hnbZvFpyf,https://api.spotify.com/v1/tracks/7wlxEnvYxiyE7hnbZvFpyf,https://api.spotify.com/v1/audio-analysis/7wlxEnvYxiyE7hnbZvFpyf,145113,4
prins,waiting for the dawn (watching stars),0.433,0.162,3,-17.268,1,0.0389,0.956,0.334,0.157,0.0694,168.056,audio_features,6TF8HlOBqvea7Vwszr2sv4,spotify:track:6TF8HlOBqvea7Vwszr2sv4,https://api.spotify.com/v1/tracks/6TF8HlOBqvea7Vwszr2sv4,https://api.spotify.com/v1/audio-analysis/6TF8HlOBqvea7Vwszr2sv4,192000,4
créature sonore,night medecine,0.628,0.0443,9,-21.674,0,0.0314,0.952,0.946,0.0812,0.0394,90.039,audio_features,61rxAjBrftE2KhqCphmtim,spotify:track:61rxAjBrftE2KhqCphmtim,https://api.spotify.com/v1/tracks/61rxAjBrftE2KhqCphmtim,https://api.spotify.com/v1/audio-analysis/61rxAjBrftE2KhqCphmtim,106674,4
créature sonore,nocturnal wandering,0.615,0.0849,7,-26.718,0,0.0348,0.941,0.967,0.122,0.0357,120.036,audio_features,4PtFwnFPv5EUBQxJ0e3mG8,spotify:track:4PtFwnFPv5EUBQxJ0e3mG8,https://api.spotify.com/v1/tracks/4PtFwnFPv5EUBQxJ0e3mG8,https://api.spotify.com/v1/audio-analysis/4PtFwnFPv5EUBQxJ0e3mG8,100750,3
créature sonore,flocon,0.698,0.176,4,-15.947,1,0.0445,0.943,0.836,0.106,0.0691,134.085,audio_features,19aosz1h9JHj4a23v5kRNA,spotify:track:19aosz1h9JHj4a23v5kRNA,https://api.spotify.com/v1/tracks/19aosz1h9JHj4a23v5kRNA,https://api.spotify.com/v1/audio-analysis/19aosz1h9JHj4a23v5kRNA,116000,3
mono._,Sleeping in,0.57,0.0662,7,-21.983,1,0.0407,0.934,0.887,0.0869,0.132,129.764,audio_features,2nrPhrk7sPoXi4V1ELYoPs,spotify:track:2nrPhrk7sPoXi4V1ELYoPs,https://api.spotify.com/v1/tracks/2nrPhrk7sPoXi4V1ELYoPs,https://api.spotify.com/v1/audio-analysis/2nrPhrk7sPoXi4V1ELYoPs,147692,4
Tosama Beats,Magical groove,0.664,0.2,9,-16.361,0,0.0371,0.898,0.875,0.103,0.0675,119.998,audio_features,56qrG92IZ5NWo8jFa9d4uG,spotify:track:56qrG92IZ5NWo8jFa9d4uG,https://api.spotify.com/v1/tracks/56qrG92IZ5NWo8jFa9d4uG,https://api.spotify.com/v1/audio-analysis/56qrG92IZ5NWo8jFa9d4uG,136008,4
mono._,Sea of Dreams,0.502,0.0418,2,-25.058,1,0.051,0.962,0.94,0.09,0.0867,170.863,audio_features,30fbE89G5jSZsMeU8hZpqe,spotify:track:30fbE89G5jSZsMeU8hZpqe,https://api.spotify.com/v1/tracks/30fbE89G5jSZsMeU8hZpqe,https://api.spotify.com/v1/audio-analysis/30fbE89G5jSZsMeU8hZpqe,122106,3
